Date,Open,High,Low,Close,Adj Close,Volume
2019-07-24,193.050003,195.160004,193.029999,195.149994,194.757248,20422900
2019-07-25,194.490005,194.520004,192.929993,193.300003,192.910980,23434700
2019-07-26,194.529999,195.550003,194.429993,195.289993,194.896957,20431200
2019-07-29,195.110001,195.179993,193.389999,194.619995,194.228317,20451700
2019-07-30,193.130005,194.539993,192.990005,193.779999,193.389999,18705000
2019-07-31,194.300003,194.429993,189.320007,191.100006,190.715408,41627500
2019-08-01,191.429993,194.979996,189.229996,190.149994,189.767303,63251600
2019-08-02,188.720001,188.990005,186.210007,187.350006,186.972961,55214000
2019-08-05,183.429993,183.509995,179.199997,180.729996,180.366272,75040000
2019-08-06,182.399994,183.800003,181.070007,183.259995,182.891174,41897200
2019-08-07,181.270004,184.509995,179.889999,184.250000,183.879181,49990600
2019-08-08,185.080002,188.320007,184.570007,188.259995,187.881119,38418100
2019-08-09,187.360001,188.000000,185.029999,186.490005,186.114685,33608900
2019-08-12,185.339996,185.899994,183.500000,184.350006,183.978989,24642900
2019-08-13,184.190002,189.679993,184.020004,188.389999,188.010849,40241900
2019-08-14,185.360001,185.949997,182.419998,182.759995,182.392181,51000500
2019-08-15,183.000000,183.589996,181.160004,182.550003,182.182617,36685000
2019-08-16,184.210007,185.949997,184.100006,185.479996,185.106705,32781400
2019-08-19,188.160004,188.830002,187.500000,188.429993,188.050766,22494100
2019-08-20,187.960007,188.639999,186.919998,186.970001,186.593719,19902900
2019-08-21,188.610001,189.229996,187.960007,188.630005,188.250381,20418500
2019-08-22,188.979996,189.460007,186.539993,188.020004,187.641602,24243700
2019-08-23,186.740005,188.449997,181.559998,182.070007,181.703583,55372400
2019-08-26,184.139999,184.869995,183.080002,184.820007,184.448044,27598900
2019-08-27,186.110001,186.419998,183.710007,184.429993,184.058823,28012800
2019-08-28,183.830002,185.399994,182.910004,185.089996,184.717499,21792400
2019-08-29,187.389999,188.460007,186.679993,187.919998,187.541794,25358900
2019-08-30,188.929993,188.970001,186.410004,187.470001,187.092712,26319800
2019-09-03,186.220001,187.179993,185.029999,185.649994,185.276367,27964200
2019-09-04,187.440002,188.490005,186.899994,188.330002,187.950974,21592100
2019-09-05,190.410004,192.330002,190.339996,191.779999,191.394028,33932600
2019-09-06,192.100006,192.169998,191.169998,191.589996,191.204407,19487800
2019-09-09,192.190002,192.270004,190.220001,191.190002,190.805222,24407600
2019-09-10,190.160004,190.740005,188.910004,190.639999,190.256332,23744700
2019-09-11,191.000000,192.529999,190.559998,192.429993,192.042725,25063600
2019-09-12,193.610001,194.710007,192.970001,193.229996,192.841110,28689900
2019-09-13,192.949997,193.399994,192.289993,192.539993,192.152496,27669800
2019-09-16,191.300003,192.080002,191.110001,191.679993,191.294220,20319000
2019-09-17,191.699997,192.600006,191.289993,192.600006,192.212387,20953400
2019-09-18,192.199997,192.600006,190.110001,192.520004,192.132553,29781300
2019-09-19,192.860001,194.039993,192.470001,192.839996,192.451889,26039400
2019-09-20,193.110001,193.309998,190.160004,190.800003,190.416016,29086100
2019-09-23,190.360001,191.070007,189.720001,190.500000,190.500000,22485900
2019-09-24,191.369995,191.789993,187.149994,187.970001,187.970001,40820700
2019-09-25,187.779999,190.580002,186.210007,190.080002,190.080002,34704900
2019-09-26,189.830002,190.000000,187.979996,189.380005,189.380005,26826000
2019-09-27,189.729996,189.830002,185.750000,187.029999,187.029999,40773500
2019-09-30,187.789993,189.110001,187.399994,188.809998,188.809998,26307700
2019-10-01,189.500000,190.589996,186.960007,187.270004,187.270004,32367600
2019-10-02,186.000000,186.029999,183.020004,184.050003,184.050003,48544300
2019-10-03,184.029999,186.210007,181.820007,186.070007,186.070007,39392500
2019-10-04,187.080002,189.080002,186.880005,188.809998,188.809998,31887600
2019-10-07,188.270004,189.740005,187.910004,188.240005,188.240005,21216000
2019-10-08,187.059998,187.860001,185.270004,185.419998,185.419998,32379300
2019-10-09,186.990005,188.080002,186.429993,187.229996,187.229996,20147400
